4689-T,東証1部,ヤフー,日足,,,
日付,始値,高値,安値,終値,出来高,売買代金
2013-9-3,49300,50300,49300,49950,71033,3545323100
2013-9-2,48750,49250,48350,48950,86244,4210975400
2013-8-30,49450,49500,48600,48700,100844,4931887700
2013-8-29,49300,49650,49050,49200,46944,2313272400
2013-8-28,49050,50100,49000,49750,52347,2597268600
2013-8-27,50100,50800,50100,50300,36116,1821208700
2013-8-26,50700,51200,50600,51100,47518,2420443600
2013-8-23,50800,51300,50100,50600,111451,5643558600
2013-8-22,48950,50200,48900,49700,79039,3930538300
2013-8-21,49350,49800,48800,49250,61548,3031499350
2013-8-20,49550,50500,49050,49550,105644,5263965700
2013-8-19,48700,49750,48600,49550,67238,3313727000
2013-8-16,48250,49100,47800,48450,104383,5062176900
2013-8-15,48750,49100,48350,48750,86950,4228830000
2013-8-14,49100,49750,48450,49550,111387,5474975900
2013-8-13,48900,49300,48200,48950,114658,5589606200
2013-8-12,49700,49950,48700,48950,119289,5872205550
2013-8-9,51100,52100,50500,50700,103797,5318053100
2013-8-8,51700,52900,50200,50600,91290,4705802400
2013-8-7,52900,53500,52100,52100,57340,3022455100
2013-8-6,53300,53600,52400,53600,53414,2831910600
2013-8-5,54100,54400,53300,53500,50640,2722263700
2013-8-2,53800,54000,52800,54000,68406,3656373700
2013-8-1,52200,53000,51200,53000,73655,3855730200
2013-7-31,52500,53300,52000,52200,83201,4376282900
2013-7-30,51700,53000,51500,52400,84445,4421607300
2013-7-29,53100,54200,52300,52400,103391,5490911200
2013-7-26,53400,55600,53100,53700,162040,8768563900
2013-7-25,58300,58300,55800,56300,110664,6267473400
2013-7-24,56600,58500,56400,57800,107595,6198394200
2013-7-23,57000,57100,55700,56500,110693,6232143200
2013-7-22,56900,58500,56400,57300,136754,7858519800
2013-7-19,55000,56200,54100,55900,187700,10425861900
2013-7-18,53800,54800,53800,54600,91933,4992866700
2013-7-17,53300,54000,52100,53600,112386,5990944700
2013-7-16,50600,53500,50500,53000,133303,6960245300
2013-7-12,50600,50900,49950,50500,74934,3777866600
2013-7-11,50600,51500,50100,50500,64517,3277880700
2013-7-10,50500,50900,50200,50700,63060,3187657600
2013-7-9,51200,51400,50100,50500,67691,3422305100
2013-7-8,51600,51900,51000,51100,73351,3773412100
2013-7-5,50600,51000,50300,50900,45523,2309747600
2013-7-4,50800,50900,50200,50600,46886,2369096000
2013-7-3,50800,50800,49850,50700,68942,3473771950
2013-7-2,50900,51000,50100,50600,82415,4175329300
2013-7-1,49800,50500,49400,50500,68157,3404306150
2013-6-28,47950,49150,47700,48900,82015,3988021250
2013-6-27,46600,47550,45700,47550,83563,3916866100
2013-6-26,47650,47650,45500,45650,69695,3205622100
2013-6-25,47650,47900,46400,46950,79787,3757319650
2013-6-24,47850,48350,47250,47350,60276,2878729450
2013-6-21,46100,47600,45350,47350,74973,3491439900
