3865-T,ìåèÿ1ïî,ñkâzãIèB,ì˙ë´
ì˙ït,éníl,çÇíl,à¿íl,èIíl,èoóàçÇ,îÑîÉë„ã‡
2013-07-16,454,466,454,457,933500,429375500
2013-07-12,431,451,427,446,1795000,788234000
2013-07-11,437,438,420,426,830000,353204500
2013-07-10,435,444,432,436,623500,272887000
2013-07-09,434,435,431,435,711500,308719000
2013-07-08,428,434,426,427,712500,305539000
2013-07-05,419,426,419,426,491000,208078500
2013-07-04,413,420,413,418,669500,279315000
2013-07-03,417,418,411,412,920500,380594000
2013-07-02,419,419,412,416,1212500,502709500
2013-07-01,422,422,410,415,862000,356571000
2013-06-28,415,425,411,423,1006500,423634500
2013-06-27,395,412,395,408,1413000,570360000
2013-06-26,400,406,391,394,623000,247780000
2013-06-25,408,408,386,399,1247500,494038000
2013-06-24,418,420,405,407,698000,286124500
2013-06-21,407,417,398,415,1372000,563379000
